date,city,country,lat,lon,PM2.5,PM10,NO2_level,O3,CO,VOCs,SO2
2024-01-01,Delhi,India,28.61,77.23,58.2,102.3,42.5,28.1,0.79,0.53,13.6
2024-01-02,Delhi,India,28.61,77.23,60.8,105.6,44.1,29.4,0.84,0.58,14.1
2024-01-03,Delhi,India,28.61,77.23,62.1,107.8,45.3,31.7,0.86,0.61,15.2
2024-01-01,Mumbai,India,19.07,72.87,55.6,98.7,39.5,25.3,0.76,0.49,12.1
2024-01-02,Mumbai,India,19.07,72.87,57.2,100.3,40.1,26.6,0.78,0.52,12.9
2024-01-03,Mumbai,India,19.07,72.87,58.9,103.1,41.7,27.8,0.80,0.55,13.4
2024-01-01,New York,USA,40.71,-74.01,52.3,91.5,35.6,22.8,0.69,0.45,11.0
2024-01-02,New York,USA,40.71,-74.01,54.2,94.7,37.4,24.0,0.72,0.48,11.8
2024-01-03,New York,USA,40.71,-74.01,56.1,96.2,39.2,25.6,0.75,0.51,12.6
2024-01-01,London,UK,51.51,-0.13,50.4,88.9,33.2,21.1,0.64,0.42,10.2
2024-01-02,London,UK,51.51,-0.13,51.8,89.7,34.6,22.5,0.67,0.44,10.8
2024-01-03,London,UK,51.51,-0.13,53.2,91.2,36.1,23.9,0.70,0.46,11.4
2024-01-01,Tokyo,Japan,35.68,139.69,48.3,86.5,30.9,19.7,0.59,0.39,9.5
2024-01-02,Tokyo,Japan,35.68,139.69,49.6,88.1,32.3,20.8,0.61,0.41,10.1
2024-01-03,Tokyo,Japan,35.68,139.69,51.0,89.6,33.8,22.3,0.64,0.43,10.7
2024-01-01,Paris,France,48.85,2.35,50.8,89.4,36.7,22.1,0.67,0.44,10.5
2024-01-02,Paris,France,48.85,2.35,52.3,91.1,37.9,23.5,0.69,0.47,11.1
2024-01-03,Paris,France,48.85,2.35,54.1,93.8,39.2,24.9,0.71,0.49,11.8
2024-01-01,Beijing,China,39.91,116.40,60.5,102.6,44.3,26.3,0.83,0.58,13.4
2024-01-02,Beijing,China,39.91,116.40,62.1,104.2,45.8,27.6,0.86,0.60,14.1
2024-01-03,Beijing,China,39.91,116.40,63.7,106.5,47.1,28.9,0.88,0.63,14.9
2024-01-01,Berlin,Germany,52.52,13.41,53.4,94.6,38.5,24.1,0.70,0.48,12.0
2024-01-02,Berlin,Germany,52.52,13.41,55.2,96.1,40.1,25.4,0.72,0.50,12.5
2024-01-03,Berlin,Germany,52.52,13.41,56.8,98.0,41.7,26.9,0.74,0.52,13.0
2024-01-01,Sydney,Australia,-33.87,151.21,48.2,87.9,34.3,20.6,0.63,0.42,10.1
2024-01-02,Sydney,Australia,-33.87,151.21,49.8,89.3,35.6,21.8,0.65,0.44,10.6
2024-01-03,Sydney,Australia,-33.87,151.21,51.4,90.6,36.9,23.0,0.67,0.46,11.1
2024-01-01,Cape Town,South Africa,-33.93,18.42,45.3,85.1,32.1,19.4,0.59,0.39,9.3
2024-01-02,Cape Town,South Africa,-33.93,18.42,46.7,86.7,33.4,20.7,0.61,0.41,9.9
2024-01-03,Cape Town,South Africa,-33.93,18.42,48.1,88.3,34.8,22.1,0.63,0.43,10.5
